Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Chelsea,22,18,2,2,62,11,+51,56,2.55,43.5,9.9,+33.7,+1.53,3187,Sam Kerr - 20,Ann-Katrin Berger,
2,Arsenal,22,17,4,1,65,10,+55,55,2.50,39.9,13.7,+26.2,+1.19,3486,Vivianne Miedema - 14,Manuela Zinsberger,
3,Manchester City,22,15,2,5,60,22,+38,47,2.14,41.8,13.5,+28.3,+1.29,1917,Lauren Hemp - 10,Karima Benameur,
4,Manchester Utd,22,12,6,4,45,22,+23,42,1.91,29.8,20.2,+9.6,+0.44,3567,Alessia Russo - 9,Mary Earps,
5,Tottenham,22,9,5,8,24,23,+1,32,1.45,24.3,18.0,+6.3,+0.29,1753,Rachel Williams - 4,Rebecca Spencer Tinja-Riikka Korpela,
6,West Ham,22,7,6,9,23,33,-10,27,1.23,19.2,26.6,-7.4,-0.34,1465,Dagný Brynjarsdóttir - 4,Mackenzie Arnold,
7,Brighton,22,8,2,12,24,38,-14,26,1.18,16.7,25.6,-8.9,-0.40,1766,Inessa Kaagman Aileen Whelan - 4,Megan Walsh,
8,Reading,22,7,4,11,21,40,-19,25,1.14,17.3,35.2,-17.9,-0.81,828,Natasha Dowie - 6,Grace Moloney,
9,Aston Villa,22,6,3,13,13,40,-27,21,0.95,13.3,30.1,-16.7,-0.76,1639,Ramona Petzelberger Remi Allen - 3,Hannah Hampton,
10,Everton,22,5,5,12,18,41,-23,20,0.91,21.0,27.4,-6.4,-0.29,1021,Anna Anvegard - 4,Sandy MacIver,
11,Leicester City WFC,22,4,1,17,14,53,-39,13,0.59,15.6,36.3,-20.7,-0.94,1743,Samantha Tierney Jemma Purfield... - 2,Demi Lambourne,
12,Birmingham City,22,3,2,17,15,51,-36,11,0.50,11.9,37.9,-26.0,-1.18,737,Louise Quinn - 5,Emily Ramsey,Relegated
